height,pressure,temp,tdew
m,hPa,K,K
30.50,1032.00,285.74,278.67
46.80,1029.99,285.93,278.35
59.40,1028.45,286.19,278.34
70.60,1027.08,286.12,278.33
81.60,1025.75,286.03,278.23
92.40,1024.43,285.95,278.05
104.60,1022.93,285.86,277.95
116.90,1021.44,285.73,277.58
128.10,1020.07,285.57,276.99
139.10,1018.74,285.48,277.12
149.40,1017.48,285.40,277.28
160.40,1016.15,285.29,277.15
171.50,1014.80,285.16,277.01
183.30,1013.38,285.04,276.92
194.70,1012.00,284.92,276.98
204.60,1010.79,284.84,277.03
215.10,1009.53,284.74,277.02
225.50,1008.27,284.63,276.79
236.50,1006.95,284.49,276.51
247.20,1005.65,284.38,276.49
258.20,1004.33,284.27,276.40
269.70,1002.95,284.15,276.32
280.90,1001.61,284.05,276.32
292.00,1000.27,283.94,276.31
302.10,999.06,283.84,276.31
311.60,997.92,283.74,276.22
321.20,996.77,283.65,276.18
330.30,995.68,283.56,276.16
340.00,994.52,283.47,276.16
350.60,993.25,283.36,276.14
361.00,992.02,283.26,276.18
371.90,990.71,283.16,276.26
383.10,989.38,283.04,276.30
393.70,988.12,282.93,276.26
404.60,986.82,282.83,276.20
416.60,985.40,282.71,276.17
427.10,984.15,282.60,276.13
437.50,982.92,282.51,276.14
448.80,981.59,282.40,276.07
458.10,980.49,282.31,275.97
467.60,979.36,282.23,275.94
478.10,978.12,282.14,275.93
488.60,976.88,282.03,275.92
499.50,975.59,281.93,275.89
510.60,974.29,281.83,275.86
521.20,973.04,281.72,275.83
532.40,971.72,281.62,275.75
544.00,970.35,281.51,275.63
555.90,968.96,281.40,275.58
567.30,967.63,281.28,275.60
578.30,966.34,281.17,275.67
589.90,964.98,281.05,275.63
600.90,963.69,280.95,275.54
611.40,962.46,280.86,275.42
622.30,961.20,280.77,275.33
633.20,959.92,280.66,275.27
643.70,958.70,280.57,275.00
654.40,957.46,280.51,274.63
665.00,956.22,280.41,274.53
675.70,954.98,280.30,274.53
686.20,953.76,280.19,274.52
696.90,952.52,280.10,274.40
707.80,951.26,280.00,274.41
718.20,950.06,279.88,274.51
728.90,948.82,279.78,274.40
740.00,947.54,279.69,274.20
750.90,946.28,279.58,274.27
761.40,945.07,279.45,274.45
771.80,943.87,279.34,274.57
783.10,942.57,279.23,274.61
794.00,941.31,279.12,274.64
805.00,940.05,279.00,274.71
815.70,938.83,278.88,274.75
826.20,937.62,278.78,274.70
836.80,936.41,278.68,274.69
847.80,935.15,278.57,274.82
859.00,933.87,278.45,274.85
870.20,932.59,278.34,274.77
881.20,931.34,278.25,274.58
891.90,930.12,278.15,274.52
901.60,929.01,278.04,274.71
911.60,927.87,277.93,274.73
922.10,926.68,277.86,274.22
932.00,925.56,277.83,273.64
942.00,924.43,277.75,273.44
952.30,923.26,277.66,273.34
962.00,922.16,277.57,273.28
972.20,921.00,277.47,273.22
