height,pressure,temp,tdew
m,hPa,K,K
2064.10,807.13,279.49,257.23
2075.20,806.04,279.51,257.04
2085.90,804.98,279.56,256.87
2098.10,803.79,279.59,256.71
2110.10,802.61,279.60,256.60
2122.60,801.38,279.61,256.53
2135.40,800.13,279.62,256.40
2147.10,798.99,279.60,256.27
2159.10,797.82,279.56,256.28
2171.70,796.59,279.54,256.39
2184.10,795.39,279.54,256.36
2197.30,794.11,279.56,256.16
2209.60,792.92,279.56,255.92
2221.00,791.81,279.55,255.76
2232.80,790.67,279.57,255.63
2245.10,789.49,279.58,255.52
2257.10,788.34,279.53,255.42
2268.20,787.26,279.51,255.30
2279.80,786.15,279.47,255.15
2292.50,784.93,279.40,255.04
2305.30,783.70,279.31,254.99
2317.70,782.52,279.21,254.98
2329.00,781.44,279.11,254.97
2340.40,780.35,279.04,254.90
2353.30,779.12,278.98,254.70
2365.50,777.95,278.91,254.50
2377.40,776.82,278.84,254.43
2389.30,775.69,278.78,254.39
2400.80,774.60,278.73,254.39
2413.10,773.43,278.69,254.40
2426.20,772.19,278.69,254.34
2438.10,771.07,278.68,254.21
2449.20,770.02,278.65,254.08
2460.40,768.96,278.62,253.96
2473.00,767.77,278.59,253.83
2486.00,766.55,278.56,253.66
2496.80,765.54,278.52,253.52
2506.30,764.65,278.47,253.42
2517.80,763.57,278.43,253.30
2530.00,762.43,278.42,253.05
2541.70,761.34,278.42,252.74
2553.40,760.24,278.41,252.55
2564.60,759.21,278.39,252.53
2574.80,758.26,278.35,252.48
2586.00,757.21,278.27,252.36
2597.80,756.12,278.20,252.23
2610.30,754.96,278.14,252.12
2622.10,753.86,278.11,252.01
2633.20,752.84,278.10,251.87
2645.20,751.73,278.07,251.66
2656.90,750.66,278.04,251.50
2667.60,749.66,277.99,251.41
2679.20,748.59,277.92,251.36
2691.60,747.46,277.84,251.32
2702.90,746.42,277.78,251.28
2712.90,745.51,277.75,251.24
2723.30,744.55,277.71,251.22
2735.70,743.42,277.61,251.19
2748.70,742.23,277.52,251.25
2761.20,741.09,277.49,251.38
2773.80,739.94,277.44,251.43
2785.70,738.86,277.36,251.49
2798.00,737.74,277.27,251.60
2810.50,736.60,277.16,251.72
2822.30,735.54,277.06,251.87
2833.80,734.49,276.95,252.10
2845.80,733.41,276.85,252.40
2858.30,732.27,276.76,252.53
2871.60,731.07,276.68,252.57
2883.90,729.97,276.58,252.53
2893.60,729.09,276.49,252.49
2903.10,728.24,276.44,252.53
2913.60,727.30,276.37,252.61
2924.30,726.34,276.26,252.66
